date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2018-11-11,730.0,62.69,11.65,50.03%,套房,15,7F/10F,1房1廳1衛,N
2018-11-10,1391.0,50.0,27.82,67.16%,華廈,18,5F/10F,3房2廳2衛,N
2018-11-10,1830.0,62.09,29.47,57.23%,住宅大樓,1,12F/18F,2房1廳1衛,N
2018-11-08,1800.0,0.0,44.25,,透天厝,,A/2F,4房2廳2衛,N
2018-11-07,1000.0,40.5,24.71,80.98%,公寓,25,4F/4F,3房2廳1衛,N
2018-11-07,520.0,56.69,9.17,54.22%,套房,8,5F/10F,1房1廳1衛,N
2018-11-06,1183.0,37.0,31.97,89.34%,公寓,39,4F/5F,3房2廳1衛,N
2018-11-06,1120.0,38.59,29.02,91.82%,公寓,,3F/4F,3房2廳1衛,N
2018-11-05,526.0,50.0,10.52,56.40%,套房,25,6F/12F,1房1廳1衛,N
2018-11-04,435.0,57.91,7.51,60.73%,套房,24,7F/13F,1房0廳1衛,N
2018-11-02,1150.0,40.09,28.7,86.06%,公寓,41,3F/4F,3房2廳2衛,N
2018-11-02,1168.0,51.31,22.78,65.69%,住宅大樓,22,1F/17F,2房2廳1衛,N
2018-11-02,1400.0,38.31,36.52,81.65%,華廈,29,1F/8F,3房2廳2衛,N
2018-11-01,1150.0,35.69,32.25,100.00%,公寓,,"""3F/4F""",3房2廳2衛,N
2018-10-31,1830.0,44.41,41.19,76.73%,華廈,29,2F/7F,3房2廳2衛,N
2018-10-31,770.0,45.69,16.85,61.91%,套房,15,2F/14F,1房1廳1衛,N
2018-10-31,1230.0,41.19,29.84,85.29%,公寓,37,4F/5F,3房2廳2衛,N
2018-10-31,688.0,53.19,12.94,53.18%,套房,15,10F/10F,1房1廳1衛,N
2018-10-30,2400.0,73.12,32.82,91.58%,公寓,36,1F/5F,2房2廳2衛,N
2018-10-29,1270.0,31.3,40.61,79.86%,公寓,36,5F/5F,4房0廳2衛,N
2018-10-29,1500.0,49.31,30.43,86.01%,公寓,39,4F/5F,3房2廳2衛,N
2018-10-28,620.0,46.59,13.32,58.81%,套房,15,12F/14F,1房1廳1衛,N
2018-10-28,1150.0,31.8,36.21,71.92%,公寓,35,4F/5F,3房2廳2衛,N
2018-10-27,1643.0,39.91,41.13,69.75%,公寓,32,2F/4F,2房2廳2衛,N
2018-10-27,1275.0,49.59,25.69,91.52%,公寓,35,2F/5F,3房1廳1衛,N
2018-10-27,1100.0,36.31,30.32,81.88%,公寓,31,4F/5F,3房2廳2衛,N
2018-10-27,1450.0,37.59,38.53,85.80%,公寓,35,2F/5F,3房2廳2衛,N
2018-10-27,1080.0,55.5,19.46,57.63%,住宅大樓,10,8F/11F,2房1廳1衛,N
2018-10-26,855.0,67.0,12.77,,店面（店舖),17,1F/7F,,N
2018-10-24,1950.0,52.0,37.47,54.92%,住宅大樓,20,2F/16F,3房2廳2衛,N
2018-10-24,1668.0,55.0,30.34,83.87%,華廈,34,4F/7F,3房2廳2衛,N
2018-10-23,1170.0,60.41,19.38,52.63%,套房,12,8F/8F,1房1廳1衛,N
2018-10-22,1320.0,47.0,28.07,58.10%,住宅大樓,3,2F/12F,2房1廳1衛,N
2018-10-22,1650.0,56.5,29.22,83.16%,華廈,42,1F/7F,3房2廳2衛,N
2018-10-22,861.0,47.91,17.98,62.49%,住宅大樓,15,3F/14F,1房1廳1衛,N
2018-10-22,1265.0,62.0,20.39,70.08%,住宅大樓,16,12F/14F,2房2廳1衛,N
2018-10-22,1250.0,51.09,24.47,61.52%,華廈,18,6F/10F,2房2廳2衛,N
2018-10-22,1100.0,53.91,20.4,60.83%,套房,17,4F/12F,1房1廳1衛,N
2018-10-21,1560.0,48.0,32.53,84.96%,公寓,,3F/5F,3房2廳2衛,N
2018-10-21,1100.0,45.69,24.05,82.48%,華廈,26,4F/5F,3房2廳2衛,N
2018-10-20,950.0,42.59,22.28,93.31%,公寓,42,2F/4F,3房2廳1衛,N
2018-10-20,2250.0,45.91,49.05,76.93%,華廈,35,3F/7F,4房2廳2衛,N
2018-10-19,2500.0,47.81,52.31,88.43%,公寓,,1F/4F,4房2廳2衛,N
2018-10-19,800.0,44.91,17.8,70.43%,華廈,35,7F/7F,2房2廳1衛,N
2018-10-18,2460.0,46.59,52.77,54.02%,公寓,20,1F/4F,3房2廳2衛,N
2018-10-18,1130.0,38.69,29.21,86.37%,公寓,38,2F/5F,3房2廳1衛,N
2018-10-18,998.0,43.59,22.89,65.38%,住宅大樓,22,11F/17F,2房2廳1衛,N
2018-10-18,1150.0,25.3,45.5,82.83%,公寓,,5F/5F,4房2廳2衛,N
2018-10-18,1050.0,68.5,15.33,53.51%,套房,5,2F/7F,1房1廳1衛,N
2018-10-17,810.0,30.91,26.24,74.71%,公寓,35,5F/5F,3房2廳2衛,N
2018-10-17,688.0,26.8,25.67,100.00%,公寓,50,1F/5F,3房2廳2衛,N
2018-10-16,800.0,47.5,16.84,55.38%,套房,8,4F/10F,1房1廳1衛,N
2018-10-16,900.0,36.91,24.41,81.48%,公寓,,4F/5F,3房1廳1衛,N
2018-10-16,1400.0,45.31,30.91,67.73%,住宅大樓,25,3F/12F,2房2廳1衛,N
2018-10-15,800.0,51.09,15.64,67.92%,住宅大樓,21,1F/13F,2房2廳1衛,N
2018-10-14,1062.0,46.0,23.08,77.92%,華廈,23,"""5F/6F""",2房2廳1衛,N
2018-10-14,935.0,30.2,30.93,70.06%,公寓,35,5F/5F,3房2廳1衛,N
2018-10-14,1788.0,39.41,45.36,64.39%,華廈,28,7F/9F,3房2廳2衛,N
2018-10-14,590.0,56.09,10.52,56.40%,套房,25,6F/12F,1房1廳1衛,N
2018-10-14,1000.0,30.09,33.27,77.98%,公寓,34,5F/5F,3房2廳2衛,N
2018-10-13,936.0,33.19,28.22,88.54%,公寓,,4F/4F,3房2廳2衛,N
2018-10-12,1255.0,49.09,25.57,89.41%,公寓,,2F/5F,4房1廳2衛,N
2018-10-12,900.0,32.41,27.76,77.98%,公寓,37,2F/5F,2房2廳1衛,N
2018-10-12,678.0,24.3,27.95,74.17%,公寓,34,3F/5F,3房2廳1衛,N
2018-10-12,1171.6,39.0,30.04,52.77%,華廈,5,2F/7F,2房1廳1衛,N
2018-10-12,1158.0,45.0,25.74,88.92%,公寓,39,4F/5F,2房2廳1衛,N
2018-10-12,1000.0,41.41,24.14,88.62%,公寓,,5F/5F,3房2廳1衛,N
2018-10-12,1414.0,32.0,44.15,75.05%,公寓,35,5F/5F,3房0廳3衛,N
