date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2016-09-14,500.0,21.5,23.24,72.06%,住宅大樓,20,15F/17F,2房2廳1衛,N
2016-09-14,370.8,16.3,22.75,83.98%,住宅大樓,21,4F/17F,2房2廳1衛,N
2016-09-13,788.0,31.5,25.01,70.84%,華廈,19,4F/7F,2房2廳1衛,N
2016-09-13,800.0,24.91,32.19,88.14%,公寓,34,2F/5F,3房2廳2衛,N
2016-09-13,610.0,28.5,21.41,72.20%,華廈,22,7F/7F,2房2廳1衛,N
2016-09-13,4780.0,0.0,123.52,,透天厝,8,A/3F,,N
2016-09-12,139.0,5.1,27.15,66.51%,華廈,8,2F/8F,2房2廳1衛,N
2016-09-12,880.0,0.0,43.72,,透天厝,26,A/2F,3房2廳2衛,N
2016-09-12,813.0,44.31,18.34,57.11%,住宅大樓,4,7F/29F,2房1廳1衛,N
2016-09-12,3800.0,0.0,148.13,,透天厝,21,A/3F,8房3廳7衛,N
2016-09-12,1350.0,49.0,27.53,100.00%,公寓,36,5F/5F,3房2廳2衛,N
2016-09-12,530.0,23.7,22.33,87.46%,公寓,34,2F/5F,3房2廳1衛,N
2016-09-11,1480.0,37.0,39.96,60.02%,住宅大樓,6,8F/13F,3房2廳2衛,N
2016-09-11,800.0,30.2,26.5,100.00%,公寓,,3F/4F,3房2廳1衛,N
2016-09-11,1038.0,56.81,18.28,60.23%,套房,7,6F/15F,1房1廳1衛,N
2016-09-11,760.0,25.91,29.31,87.52%,公寓,37,3F/5F,3房2廳2衛,N
2016-09-10,1900.0,54.41,34.92,86.72%,公寓,38,1F/4F,2房2廳2衛,N
2016-09-10,960.0,26.09,36.78,87.52%,公寓,36,3F/5F,3房2廳2衛,N
2016-09-10,550.0,38.09,14.44,69.11%,套房,15,4F/14F,1房1廳1衛,N
2016-09-09,550.0,18.3,30.06,83.32%,公寓,35,4F/4F,3房2廳1衛,N
2016-09-09,580.0,27.2,21.33,83.68%,公寓,38,2F/4F,3房1廳1衛,N
2016-09-09,790.0,23.0,34.38,57.89%,華廈,3,5F/8F,3房2廳2衛,N
