"買賣案件:新北市新店區房地(土地+建物),建物,105 年 1 月 至105 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
中興路二段５３號十八樓,巴黎皇宮,105/10/19,1165,48.2,24.18,55.40%,住宅大樓(11層含以上有電梯),,十八層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號十四樓,巴黎皇宮,105/10/19,1155,47.8,24.18,55.40%,住宅大樓(11層含以上有電梯),,十四層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４９號三樓,巴黎皇宮,105/10/19,890,36.3,24.49,50.25%,住宅大樓(11層含以上有電梯),,三層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號八樓,巴黎皇宮,105/10/19,890,36.8,24.18,55.40%,住宅大樓(11層含以上有電梯),,八層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４５號十四樓,巴黎皇宮,105/10/19,1305,47.5,27.48,57.95%,住宅大樓(11層含以上有電梯),,十四層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
安泰路１８號３樓之１,璦丁堡,105/10/19,710,25.9,27.38,61.54%,華廈(10層含以下有電梯),1,三層/七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
中興路二段５１號三樓,巴黎皇宮,105/10/19,1110,39.2,28.35,45.46%,住宅大樓(11層含以上有電梯),,三層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
安成街２６號九樓,浪漫貴族,105/10/19,476,27.6,17.22,63.45%,住宅大樓(11層含以上有電梯),25,九層/十一層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
中興路二段４１號十一樓,巴黎皇宮,105/10/19,1639,39.9,41.04,55.27%,住宅大樓(11層含以上有電梯),,十一層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,建物第一次登記後移轉,,
安祥路１１０巷３９號十六樓,祥和社區,105/10/19,380,16.6,22.93,84.03%,住宅大樓(11層含以上有電梯),21,十六層/十七層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,,,
中興路二段３７號,巴黎皇宮,105/10/19,1920,82.1,23.38,65.37%,住宅大樓(11層含以上有電梯),,"一層,騎樓/二十四層",房地(土地+建物),土:0 建:1車:0,0房0廳2衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４５號十七樓,巴黎皇宮,105/10/19,1226,44.6,27.48,57.95%,住宅大樓(11層含以上有電梯),,十七層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號二十二樓,巴黎皇宮,105/10/19,978,40.4,24.18,55.40%,住宅大樓(11層含以上有電梯),,二十二層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４３號二十三樓,巴黎皇宮,105/10/19,2033.2,18.4,110.59,42.43%,住宅大樓(11層含以上有電梯),,二十三層/二十四層,建物,土:0 建:1車:0,4房2廳2衛,,有,無,住家用,建物第一次登記後移轉 無土地交易 合建分售之地主承購建物 本建物買價含2車位建商與地主合建案。;單獨車位交易。;,,
中正路３５２號十三樓之１,康和儷舍,105/10/19,1300,50.9,25.56,70.84%,住宅大樓(11層含以上有電梯),15,十三層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
新店路３４號四樓,,105/10/18,650,31.4,20.7,86.62%,公寓(5樓含以下無電梯),30,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,,,
長春路４３巷１０號,名人鄉村世界,105/10/18,1300,0,38.59,,透天厝,35,全/二層,房地(土地+建物),土:2 建:1車:0,3房2廳3衛,,有,無,住家用,,,
華中街１７巷２號二樓,,105/10/18,1150,38.1,30.21,89.20%,公寓(5樓含以下無電梯),43,二層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;,,
安康路二段１５９巷８號１３樓之１,高鮮屋,105/10/18,502,33.8,14.86,64.53%,住宅大樓(11層含以上有電梯),18,十三層/十五層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,,,
合作路９號四樓,上碧潭,105/10/18,790,34.9,22.62,61.93%,住宅大樓(11層含以上有電梯),1,四層/十二層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,,,
安康路一段１７１號三樓之２,水美安康,105/10/17,835,30.4,27.46,59.03%,華廈(10層含以下有電梯),,三層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
北宜路二段１１９之３號１０樓,潭天天廈,105/10/17,1000,28.5,35.09,81.71%,住宅大樓(11層含以上有電梯),16,十層/十八層,房地(土地+建物),土:1 建:2車:0,4房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
富貴街１０巷４號３樓,,105/10/16,430,22.7,18.92,85.87%,公寓(5樓含以下無電梯),34,三層/五層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,無,住家用,,,
永業路８１巷２４之１號,,105/10/16,200,21.9,9.14,86.90%,公寓(5樓含以下無電梯),34,一層/五層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,無,住家用,,,
安興路１２７之３號十四樓,陽光PARK,105/10/16,751,24.6,30.48,,其他,1,十四層/十四層,房地(土地+建物),土:8 建:1車:0,,,有,無,商業用,,,
平等街５４號４樓,,105/10/16,898,38,23.65,100.00%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
富貴街１６巷４號３樓,,105/10/16,550,21.2,25.89,87.29%,公寓(5樓含以下無電梯),34,三層/五層,房地(土地+建物),土:4 建:1車:0,2房2廳1衛,,無,無,住家用,,,
玫瑰路６１巷３６號,玫瑰中國城,105/10/15,1100,22.5,48.85,80.20%,公寓(5樓含以下無電梯),27,"一層,二層,地下一層/五層",房地(土地+建物),土:3 建:1車:0,5房2廳3衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
新坡一街１１３號　　　　　　,涵煙翠,105/10/15,820,28,29.27,79.28%,住宅大樓(11層含以上有電梯),22,一層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
安康路三段３５９巷１２弄３２號三樓,,105/10/15,600,22,27.32,84.50%,公寓(5樓含以下無電梯),34,三層/四層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,,,
北宜路二段２４號四樓,,105/10/15,800,26.6,30.11,76.90%,華廈(10層含以下有電梯),24,四層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
寶元路一段８４巷６號３樓,,105/10/15,1050,38.9,27.03,100.00%,公寓(5樓含以下無電梯),42,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
北新路二段１５２巷１０號,,105/10/15,1888,54.4,34.69,100.00%,公寓(5樓含以下無電梯),,一層/四層,房地(土地+建物),土:3 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
永安街６１巷２９號四樓,,105/10/15,600,29.6,20.26,100.00%,公寓(5樓含以下無電梯),36,四層/四層,房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。 頂樓增建2房1廳1衛親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,,
安德街６０巷１號四樓之３,愛漂亮,105/10/14,1100,32.3,34.08,59.85%,住宅大樓(11層含以上有電梯),1,四層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
北新路一段１４１號二樓,,105/10/14,1030,34.4,29.98,95.59%,公寓(5樓含以下無電梯),38,二層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,有增建含增建或未登記建物。;,,
中正路５６０巷２號三樓,,105/10/14,650,15.2,42.79,100.00%,公寓(5樓含以下無電梯),36,三層/五層,房地(土地+建物),土:3 建:1車:0,3房1廳2衛,,有,無,工業用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
中正路３２９巷１弄８號四樓,,105/10/14,1120,40.9,27.41,100.00%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
寶強路２號４樓,小雅苑,105/10/13,1260,57.7,21.84,70.00%,華廈(10層含以下有電梯),14,四層/六層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,共有人數2人。 含增建或未登記建物。含增建或未登記建物。;,,
錦秀路１１巷９２弄６號,,105/10/13,1480,0,97.31,,透天厝,22,全/三層,房地(土地+建物),土:1 建:1車:0,6房2廳5衛,,有,無,住家用,,,
光明街２２０號四樓,,105/10/13,500,20.6,24.32,100.00%,公寓(5樓含以下無電梯),37,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
華城一路８巷１７號,,105/10/13,3600,0,72.27,,透天厝,34,全/二層,房地(土地+建物),土:2 建:1車:0,6房3廳4衛,,有,無,住家用,,,
永華街３３巷１６號４樓,,105/10/13,1125,35.8,31.4,86.73%,公寓(5樓含以下無電梯),38,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
溪園路３６５之２號２樓,湯泉美地,105/10/13,980,43.8,22.38,64.19%,套房(1房(1廳)1衛),13,二層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
北新路一段３２１號,,105/10/12,1900,106.6,17.83,,店面（店舖),41,"一層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,,,無,無,商業用,含增建或未登記建物。含增建或未登記建物。;,,
五?路３１號,,105/10/12,1350,38,35.55,84.85%,公寓(5樓含以下無電梯),44,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
大同街３８號２樓,,105/10/12,800,39.4,20.29,100.00%,公寓(5樓含以下無電梯),46,"二層,騎樓/四層",房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,,,
